[1220/113620:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1220/123606:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1220/142201:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1220/203810:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1222/160055:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0105/102839:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0105/104456:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0105/112328:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0105/143440:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0105/144112:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0106/104921:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0106/121205:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0106/122920:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0106/123426:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0106/124517:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0106/135040:ERROR:file_io.cc(30)] read: expected 4, observed 0
